epoch, train_loss, train_accuracy, validation_loss, validation_accuracy
0, 0.15867935719582513, 0.9287118003639158, 0.17601766493016663, 0.9318976261939368
1, 0.12929152856242954, 0.9429966435868324, 0.17034890030064412, 0.9339247165954674
2, 0.09837497535504793, 0.9580187746362343, 0.1726812553125075, 0.9324567687808641
3, 0.07309798299853491, 0.9681834520725663, 0.1847993397151334, 0.9284997121779212
4, 0.04988633508992658, 0.9793835977438083, 0.20556122023313, 0.934944837542452
5, 0.035337671730409366, 0.9879558340664385, 0.23465823796977628, 0.927400024974115
6, 0.024038861642418807, 0.990850391480401, 0.2713453188497274, 0.9351905432434293
7, 0.01810272759822432, 0.9942855133244205, 0.28268086315852453, 0.9306284280034643
8, 0.013094493371132668, 0.9967389304882271, 0.298970793175235, 0.9339114387940172
9, 0.012117706316618708, 0.9965523747195828, 0.318697845506536, 0.9320431708298892
10, 0.008894302477219097, 0.997133602065723, 0.3234290280005278, 0.9277709332859747
11, 0.008396348103344276, 0.9969685609320854, 0.3415074765352001, 0.9322737845027216
12, 0.00975614704367114, 0.9963184208751055, 0.34148085810801326, 0.924865467726689
13, 0.010244206708554086, 0.9961418179263699, 0.37154005183077254, 0.9357796720850831
14, 0.005187837020016774, 0.9983176879605428, 0.3669094261700427, 0.9323079526589518
15, 0.005753848941640676, 0.9979524663610801, 0.36206249484064834, 0.9307524599857278
16, 0.007208035402309531, 0.9975378293740121, 0.3704538718485106, 0.9278589445798351
17, 0.006250135092338202, 0.9976696055021312, 0.37167855345971695, 0.9293739473720667
18, 0.009663098282761191, 0.9964807117744826, 0.35672495528601544, 0.9227784437816229
19, 0.006979990234583038, 0.997650081596216, 0.3817063376844094, 0.9311671022563099
20, 0.0051417129315497806, 0.9979411437901103, 0.3902782896879307, 0.9296063201249141
21, 0.004222452336757178, 0.9980467191363306, 0.37394297502707907, 0.925304024338392
22, 0.003898490705318398, 0.9986056064634772, 0.38491303356070267, 0.9280187124360632
23, 0.007827822810394942, 0.9970676639733882, 0.3926515480157741, 0.9282287336122296
24, 0.00648983730160608, 0.9976356405960886, 0.41751133190297685, 0.932168924082019
25, 0.0045436862920645695, 0.998063380698418, 0.4004917385835727, 0.9267198038893724
26, 0.006846384632909397, 0.9968279443289104, 0.3891085837026052, 0.9286253273982421
27, 0.009007426558599041, 0.9958824781169522, 0.4054280461697037, 0.9303104306191949
28, 0.007323578526356214, 0.9962323667930434, 0.4043312863629941, 0.9299117744464294
29, 0.00644446776436843, 0.9970768244312741, 0.40225417065818553, 0.9271249840464288
30, 0.007668086932585097, 0.9969799140483718, 0.3907206808100777, 0.9245274854498887
31, 0.004865215552088462, 0.998070423622871, 0.40494984429628894, 0.9282385730016925
32, 0.004619865458964311, 0.9979257291373784, 0.4192971594611033, 0.9289563950409189
33, 0.003068709027517453, 0.9985965004918318, 0.4353860198956117, 0.9266544407094285
34, 0.0032862714024833365, 0.9983667150098531, 0.432937113532069, 0.9270456955043233
35, 0.003627227955959593, 0.9975224781234509, 0.4342150272094642, 0.9295723841130898
36, 0.003045195094154957, 0.9984722401626883, 0.44134497081143703, 0.9292688344984503
37, 0.0036164371869488107, 0.998024126829533, 0.4430181699446364, 0.9267038098662844
38, 0.003023514095848617, 0.9980857430072372, 0.46123135750313543, 0.9281947964446366
39, 0.007746906935590787, 0.9978814455280673, 0.4615000297323158, 0.931172089893732
40, 0.005387422893134429, 0.9973624536865636, 0.4419008170633765, 0.9257562553453313
41, 0.01420911831311737, 0.9944678287426851, 0.4450463815243951, 0.9197522490968995
42, 0.005045866246729924, 0.9972494128998627, 0.4394860284150142, 0.9274403540381434
43, 0.008747088824788371, 0.9971926071967444, 0.4641153529245107, 0.929906709372502
44, 0.004314351546993464, 0.9977969672541209, 0.43529694653283857, 0.9224792025426088
45, 0.0022750793352537373, 0.9984694768847521, 0.46838880947422123, 0.930097907699046
46, 0.0031874617713263612, 0.9976687839156703, 0.46257019439232316, 0.9267978191045513
47, 0.0030850788076612016, 0.99806335147398, 0.4737498453119125, 0.9284425178062883
48, 0.002906641221496888, 0.9978081920800776, 0.4744062410497269, 0.9259564511663696
49, 0.002975765041042109, 0.998193141000753, 0.47009405914766306, 0.9255564377908891
