epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
0,0.1564806070684396,0.9330645616364941,0.16428246924916792,0.9412909914582059
1,0.12353384536058949,0.9406063843962228,0.1643840794624384,0.9419505383169222
2,0.08926330688422407,0.9627291267928655,0.1644616477872526,0.9376584397128415
3,0.06457796172752275,0.9741244086598425,0.16932509115115427,0.9409557982164737
4,0.042195698695252144,0.9842223072646398,0.19414752758936207,0.9398553272363552
5,0.029544846895163738,0.9882151974865604,0.23186576927797947,0.939049268528365
6,0.02608765399088655,0.9904370043746652,0.2415622703504034,0.9383294060619914
7,0.01937711962764448,0.9930445216699321,0.258492246022515,0.9380096900496127
8,0.01613311633632784,0.9947740377811845,0.28004429545098725,0.93713072776134
9,0.013619606143219649,0.9959946992985099,0.2852124307624521,0.9388161730898384
10,0.009971788823810971,0.9966874472652446,0.3069222328405301,0.9380849553607508
11,0.010801335285905326,0.9955952339225198,0.31210622851868414,0.9336406385469305
12,0.010268809877521774,0.9966506211711429,0.31238627879573366,0.9416561957211376
13,0.010823504947683157,0.9959938724285348,0.35125114473609714,0.9370184194017975
14,0.013829959059841003,0.9951618701797443,0.3354648597682942,0.9397584280809207
15,0.010778813540336994,0.994997029819647,0.33055326495309284,0.9373922744286027
16,0.009756968519198928,0.9951685850309864,0.33484745190744586,0.9386805035070699
17,0.010465014050005215,0.9954514695006395,0.35199467371375276,0.9379886700836245
18,0.011547086568203576,0.9958326757119303,0.3432162976578662,0.932785421197104
19,0.010101828760263663,0.9956996421074273,0.3513791622217342,0.9287422183808197
20,0.009836982806674992,0.9964610546249432,0.36744250105358556,0.9373045316033086
21,0.011384065283612035,0.9958284819225195,0.36626206404449535,0.9364205938957405
22,0.011099345667334145,0.9958043349416632,0.3697584595046215,0.9364079610132444
23,0.008955967927305157,0.99638413986671,0.3696428723117321,0.9345133535749695
24,0.007594427451171456,0.9963062892660209,0.36533898924196195,0.9395650742456854
25,0.00852397301458751,0.9961126253545449,0.3823261848777285,0.9299174784953574
26,0.009630043796132063,0.9960631003340196,0.37440743109526065,0.9358093277899512
27,0.009138700369116012,0.9952631881692733,0.36164155841864376,0.932792121518682
28,0.008820763905210178,0.9958183646532307,0.37153900689200353,0.9385153235160744
29,0.00980372045323294,0.995816105290463,0.3782269839104523,0.9384464882417399
30,0.011832166163875125,0.9955901506865124,0.40547593181483305,0.9415470837225874
31,0.0087866864278087,0.9958737834338667,0.37116511657297446,0.9335151461683152
32,0.0064958718107430225,0.9963577269186934,0.4122533295458374,0.9338021096760546
33,0.005560822136715633,0.9971355612588391,0.391984459188176,0.9372439075705087
34,0.005856207166243747,0.9966583436876123,0.4023876386666232,0.9340791997817084
35,0.005444325026836752,0.9966579764833741,0.4093701380441724,0.9340976836608718
36,0.007935821812682452,0.996520807868556,0.42696095123845784,0.9416923935723767
37,0.005767989672792668,0.9964211872079696,0.39916692719565205,0.9366836965579406
38,0.005721036229963695,0.9965439813619175,0.41708851042216505,0.9330616050149595
39,0.008139787280514135,0.9961286106268125,0.41256312906246767,0.9321260952553261
40,0.007366453503823512,0.9955451006374201,0.40961282330866994,0.9310463089031525
41,0.008740132782928171,0.9951202010844222,0.433968041081838,0.9282100686075945
42,0.009320129428853454,0.9960788524712222,0.40633727878414694,0.9321981016288504
43,0.008409146429748994,0.9959594688257022,0.41500468812160546,0.9330308153358523
44,0.0074986343032105145,0.9964217796220013,0.4109357616908002,0.9377749636562908
45,0.007361792663881075,0.99653213572304,0.42979826458273174,0.9335919587235701
46,0.007028688960437794,0.9967850047135287,0.42720369321817836,0.9371517445902415
47,0.006822954761406144,0.9964865125777649,0.4407611356382555,0.9338511707379877
48,0.008030591857647961,0.9966483096336725,0.43868633031514875,0.9326253457412825
49,0.006274186498795086,0.9966331697236798,0.44572492946878367,0.9370645728798124
