epoch, train_loss, train_accuracy, validation_loss, validation_accuracy
0, 0.43604145436405806, 0.755365749640478, 0.43485879435763797, 0.7562845842990188
1, 0.24545556257306045, 0.9207192307694136, 0.24031230893987038, 0.9288807407310464
2, 0.18624653438121658, 0.9200230538019513, 0.1884744116143837, 0.929311368439006
3, 0.17449922680111804, 0.9205938450517417, 0.17910433897021075, 0.9283184823567187
4, 0.16928620139069833, 0.9217357762632608, 0.17493793958607143, 0.9290445050704512
5, 0.16656291680900673, 0.9216002118554472, 0.1773998163578583, 0.928718872347697
6, 0.1650590739752117, 0.9231378571478613, 0.17862792441059017, 0.9253464600386052
7, 0.15756786468121484, 0.9255735043673634, 0.17715916545272203, 0.9284501977244243
8, 0.1564487766608637, 0.9242582448301553, 0.18171723607999796, 0.9267524751599806
9, 0.15321681250165373, 0.9269359773876265, 0.18028008322801617, 0.9296609724657687
10, 0.14955281313519067, 0.9265209943303772, 0.18249496710267424, 0.9295891728097382
11, 0.14801438786399002, 0.9269539334106973, 0.180786079812248, 0.9305059998979859
12, 0.14601380877465092, 0.9268628218497595, 0.18265164042939108, 0.9289306405508617
13, 0.14399400918932834, 0.9272392194026725, 0.18038685801451887, 0.9290376477294351
14, 0.13920165855344643, 0.9308406396916038, 0.18634752669162696, 0.9304836664833851
15, 0.1408923203512572, 0.930042055009805, 0.18379387998349778, 0.9272927002893591
16, 0.13779282766985101, 0.9297673941649228, 0.18356978558932646, 0.9287104733762979
17, 0.13695084352118486, 0.9297141574756591, 0.18552828739059268, 0.9295037273224701
18, 0.13595507966762105, 0.9309312810197762, 0.19401703741907084, 0.9286628451373768
19, 0.13827503924554735, 0.9331177894098277, 0.1883248914642017, 0.9275085826990017
20, 0.13104934791242318, 0.9326871116735929, 0.18959877646200546, 0.9296407608774561
21, 0.13217773926225065, 0.9321796803263086, 0.1818253821448276, 0.9312906834887665
22, 0.1335327532606772, 0.9343209286475775, 0.18826819820087043, 0.9286213642672488
23, 0.1301975841337294, 0.9339556555338514, 0.18780114891786653, 0.9278613332235912
24, 0.1296811556428093, 0.9349314639773065, 0.19256137843937754, 0.9278039914088897
25, 0.1280300336737712, 0.9344338637639942, 0.18915174224535183, 0.9285838782291993
26, 0.12926537341275704, 0.9327733042827934, 0.18973990354346437, 0.928732789124148
27, 0.13093343876570546, 0.9336380238678317, 0.19517166945577658, 0.9237176815558669
28, 0.12696845692239309, 0.9357723813307913, 0.19497174297013112, 0.9255304078976534
29, 0.1263187736107702, 0.9335006736322123, 0.196034462539443, 0.9273986461420138
30, 0.1276068561955502, 0.9362891486476993, 0.19284062256773424, 0.9258200501471014
31, 0.12458249744946276, 0.9361414027676358, 0.20519094383782627, 0.9289366817540409
32, 0.12349837308445136, 0.9355665831684736, 0.19118929553230052, 0.9273280344511333
33, 0.1250963519918126, 0.935396847632453, 0.1994652349780471, 0.9285487369156941
34, 0.1242581158876419, 0.9353146493600016, 0.1980373968790773, 0.9292706188402677
35, 0.12560765767196538, 0.9352711392901941, 0.19468109780236295, 0.9281213588991984
36, 0.12434759879500251, 0.9379313361941942, 0.20380661345584902, 0.924495415839462
37, 0.12277905553207834, 0.9355684059808789, 0.20043028164603374, 0.9278050824545757
38, 0.12436607061082967, 0.9362591620627533, 0.19398528651187294, 0.9278116260869351
39, 0.1213612708461747, 0.9370128474407249, 0.20291216799426937, 0.9277979997386563
40, 0.12278958403833025, 0.9378000748784918, 0.20128548789222483, 0.9234117961326134
41, 0.12247775247387609, 0.9369472050600766, 0.1939385401657744, 0.9262097966637968
42, 0.12091117450281193, 0.9368166755110934, 0.20017933321296344, 0.9270243770197818
43, 0.12253358088165439, 0.9382487878905109, 0.20875080945254032, 0.9290148591070624
44, 0.12035420835224546, 0.9369752341030047, 0.20166711719742772, 0.929577226453871
45, 0.12240528311177964, 0.9387034346192167, 0.19838165299879218, 0.9295760185104328
46, 0.11907190829515457, 0.9379340357397402, 0.20565884570665968, 0.928791715167566
47, 0.12053056557629246, 0.9406678731091465, 0.19994888477378275, 0.926325762370947
48, 0.12077009725356036, 0.940055002466133, 0.19981341340535236, 0.9260769372501532
49, 0.1212585047093785, 0.9363086656190022, 0.20448149521925443, 0.9250827786664884
