epoch, train_loss, train_accuracy, validation_loss, validation_accuracy
0, 0.17482073477100468, 0.9308224752999409, 0.194674025116865, 0.9249714089562688
1, 0.1587812049195707, 0.9371171844633002, 0.17558018256422556, 0.9283379347700822
2, 0.1601882761452667, 0.9329345300587261, 0.17258607816993365, 0.9290996578591683
3, 0.152431734442876, 0.9394103722889338, 0.17156653543753636, 0.931118370918686
4, 0.15006296320139867, 0.9400823887365346, 0.1692472093240706, 0.9335053782714041
5, 0.14030125351246045, 0.9410891280279926, 0.16570570359104558, 0.9330956575943162
6, 0.13886744562030828, 0.9412603236301453, 0.16834555867636303, 0.9354766798811937
7, 0.13527862279781674, 0.9442746634298415, 0.16370600895373114, 0.9343851548813057
8, 0.12897128440501618, 0.9451265270690178, 0.1630315820266005, 0.9343517642272147
9, 0.123706969899484, 0.9471954534918978, 0.16606539058553216, 0.9345554476629664
10, 0.12964627741116236, 0.9432209776379065, 0.17725748550198414, 0.932406914531359
11, 0.12576252003290647, 0.9468760396304884, 0.169316616249877, 0.9323879810581577
12, 0.11717874069705894, 0.9496789411164387, 0.1662838070181268, 0.935967545099866
13, 0.11467194150607012, 0.9466850026162378, 0.1695102791706941, 0.9370738665813224
14, 0.11346171181287792, 0.9511100920613783, 0.16906026814783048, 0.9377243900233029
15, 0.11077101962057838, 0.9555939691879082, 0.1673070260032062, 0.9357132046506675
16, 0.10797030121665913, 0.9524136529074482, 0.1707947670257653, 0.9358058154087647
17, 0.10633317670085754, 0.9557397915385767, 0.1792777167875681, 0.9308894248550288
18, 0.10083005057229891, 0.9560173276058525, 0.1760594394481083, 0.9351833723588664
19, 0.0980670051726608, 0.9574096100482253, 0.17700314563067004, 0.9364558816616555
20, 0.09765970186843767, 0.958239943532072, 0.19008869019406655, 0.9340875926440443
21, 0.10000223656110156, 0.9580003386389185, 0.18088618862001518, 0.9313512238108881
22, 0.09142424122861217, 0.9644162603692665, 0.18039023512948582, 0.9320890176989696
23, 0.09198372771865443, 0.9616214708938493, 0.19249015208591716, 0.9270805381341655
24, 0.08062555426293133, 0.9658323610588454, 0.18981080256670796, 0.9329566603882491
25, 0.0789560728456175, 0.9668283962807167, 0.19064620116575934, 0.9323548350968189
26, 0.07857605883041577, 0.9671182733163279, 0.19471227569593286, 0.9305284721699448
27, 0.07728717538045714, 0.9678271067769904, 0.20248834033421861, 0.9334553144975383
28, 0.0740681937444243, 0.9689576176725266, 0.2050259524022443, 0.9289551473060143
29, 0.0687295730919719, 0.9716773703487956, 0.20728870656681853, 0.9335207140016424
30, 0.07245280207689449, 0.9681708236480353, 0.21113078795641743, 0.9292265140448911
31, 0.06447472064201192, 0.9739688724031739, 0.22281184033013446, 0.9302442417250446
32, 0.06453631320901194, 0.9732053889131942, 0.22931002212528376, 0.9331071031721014
33, 0.06147422998565716, 0.9741462320502114, 0.22300948371847581, 0.9301261695468195
34, 0.056778958113735074, 0.9769350348086898, 0.22757266816835325, 0.9321476711460758
35, 0.06187647317956689, 0.9743012450738627, 0.23922310129757404, 0.9290234709050187
36, 0.0566107051606984, 0.9760631705915499, 0.2401529925351658, 0.9274535978269709
37, 0.052675005966936785, 0.9769334684118339, 0.25203446024342585, 0.9316163082862494
38, 0.052805583212019, 0.9758851554585296, 0.25636725334084265, 0.9314116828989785
39, 0.05097248599222162, 0.9769102655289246, 0.25174434305558246, 0.9313970835585343
40, 0.0467850843810804, 0.97960860115009, 0.26648075862109166, 0.9301158865072721
41, 0.048352508653481584, 0.9785017534636394, 0.26922297927646427, 0.9318686385233976
42, 0.044478331163649416, 0.9802624203491739, 0.2737709607443981, 0.9288728486467926
43, 0.04278568443622946, 0.980309636473986, 0.28270191408260376, 0.9323471951352592
44, 0.04857311281182099, 0.9802990834798839, 0.28479329684434507, 0.9255884444944746
45, 0.04117742398562854, 0.9817949616017434, 0.2978821296936257, 0.9274859169183345
46, 0.03946732432475711, 0.983326187754602, 0.2977954621460299, 0.9257861232163173
47, 0.04276623441695837, 0.9828023745412642, 0.2989761729072005, 0.9260115933880582
48, 0.039227972049627274, 0.9828882582299927, 0.2986720434268756, 0.9281436668868871
49, 0.0394124924166546, 0.9825446476896714, 0.30631880895582925, 0.924824638379908
